influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year
InStyleOf,7092,Meadow's Whisper,Meadow's Whisper,Song,Synthwave,2025,16163,Riverbank Rhythms of Victorian London,Riverbank Rhythms of Victorian London,Song,Post-Apocalyptic Folk,2013
InStyleOf,12250,Mediterranean Melody,Mediterranean Melody,Song,Americana,2025,14024,Currents of Forgotten Valleys,Currents of Forgotten Valleys,Song,Americana,2013
InStyleOf,13254,Pristine Falling Apart,Pristine Falling Apart,Album,Indie Rock,2025,10859,Bortglömd Brevlåda vid Landsvägen (Forgotten Mailbox by the Road),Bortglömd Brevlåda vid Landsvägen (Forgotten Mailbox by the Road),Song,Doom Metal,2013
InStyleOf,13567,Lowered Expectations,Lowered Expectations,Album,Lo-Fi Electronica,2025,13985,Seven Verses Before Dawn,Seven Verses Before Dawn,Song,Lo-Fi Electronica,2013
InStyleOf,13567,Lowered Expectations,Lowered Expectations,Album,Lo-Fi Electronica,2025,15024,Silent Whispers of Unanswered Questions,Silent Whispers of Unanswered Questions,Song,Lo-Fi Electronica,2013
InStyleOf,14379,"Empty Pockets, Full Regrets","Empty Pockets, Full Regrets",Album,Dream Pop,2025,5425,Memories of the Nordic Maiden,Memories of the Nordic Maiden,Song,Doom Metal,2013
InStyleOf,14606,The Number That Haunts Me,The Number That Haunts Me,Song,Synthwave,2025,3376,Rapid Heartbeat,Rapid Heartbeat,Song,Desert Rock,2013
InStyleOf,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,3512,Andalusian Rhythm,Andalusian Rhythm,Song,Indie Pop,2013
InterpolatesFrom,2303,Invisible Currents,Invisible Currents,Song,Alternative Rock,2025,3512,Andalusian Rhythm,Andalusian Rhythm,Song,Indie Pop,2013
InterpolatesFrom,5882,Celestial Weave,Celestial Weave,Album,Synthwave,2025,10673,Gravel Road Home,Gravel Road Home,Song,Doom Metal,2013
InterpolatesFrom,6820,Azure Escape,Azure Escape,Song,Space Rock,2025,14322,Telegrams from Tomorrow,Telegrams from Tomorrow,Song,Post-Apocalyptic Folk,2013
InterpolatesFrom,8328,The Geography of Me,The Geography of Me,Song,Synthwave,2025,7244,Rakkauden Varjossa (In the Shadow of Love),Rakkauden Varjossa (In the Shadow of Love),Song,Synthwave,2013
InterpolatesFrom,8328,The Geography of Me,The Geography of Me,Song,Synthwave,2025,13399,Ringtone Requiem,Ringtone Requiem,Song,Indie Folk,2013
InterpolatesFrom,8714,Luminous Silence,Luminous Silence,Song,Oceanus Folk,2025,6611,Completely Crazy (About You),Completely Crazy (About You),Song,Oceanus Folk,2013
InterpolatesFrom,12250,Mediterranean Melody,Mediterranean Melody,Song,Americana,2025,8587,Cornfield Memories,Cornfield Memories,Song,Synthwave,2013
InterpolatesFrom,12263,Echoes from the Mountain's Heart,Echoes from the Mountain's Heart,Song,Speed Metal,2025,3270,Crimson Vows,Crimson Vows,Song,Speed Metal,2013
InterpolatesFrom,13600,Scars and Surrenders,Scars and Surrenders,Song,Dream Pop,2025,15325,Birthright Anthem,Birthright Anthem,Album,Indie Folk,2013
InterpolatesFrom,14129,Quill and Ink,Quill and Ink,Song,Desert Rock,2025,10596,Roots Between Worlds,Roots Between Worlds,Song,Indie Folk,2013
InterpolatesFrom,15500,Cynical Season,Cynical Season,Song,Synthwave,2025,14136,Sonnets of the Heart,Sonnets of the Heart,Song,Doom Metal,2013
LyricalReferenceTo,5751,Downward Spiral,Downward Spiral,Song,Dream Pop,2025,1729,Midway Mirage,Midway Mirage,Album,Dream Pop,2013
LyricalReferenceTo,6954,Masked Whispers of the Commedia,Masked Whispers of the Commedia,Song,Jazz Surf Rock,2025,15971,Celestial Descent,Celestial Descent,Song,Indie Rock,2013
LyricalReferenceTo,8714,Luminous Silence,Luminous Silence,Song,Oceanus Folk,2025,16524,Trembling Syringe,Trembling Syringe,Song,Oceanus Folk,2013
LyricalReferenceTo,13820,Mazovia's Pulse,Mazovia's Pulse,Song,Lo-Fi Electronica,2025,14566,Midsummer Dance on Roslagen Shore,Midsummer Dance on Roslagen Shore,Album,Lo-Fi Electronica,2013
CoverOf,951,Emociones en Color (Emotions in Color),Emociones en Color (Emotions in Color),Album,Dream Pop,2025,10319,Campfire Chronicles,Campfire Chronicles,Song,Psychedelic Rock,2014
CoverOf,12877,Fragmented Chambers,Fragmented Chambers,Song,Space Rock,2025,16445,Lazy Pavement,Lazy Pavement,Album,Dream Pop,2014
DirectlySamples,6820,Azure Escape,Azure Escape,Song,Space Rock,2025,7897,Cloudscape of Resistance,Cloudscape of Resistance,Song,Post-Apocalyptic Folk,2014
DirectlySamples,13567,Lowered Expectations,Lowered Expectations,Album,Lo-Fi Electronica,2025,15838,Groove Global,Groove Global,Song,Avant-Garde Folk,2014
InterpolatesFrom,11263,The Drover's Lament,The Drover's Lament,Album,Post-Apocalyptic Folk,2025,7897,Cloudscape of Resistance,Cloudscape of Resistance,Song,Post-Apocalyptic Folk,2014
InterpolatesFrom,11393,Shadows of the Ancient Scholar,Shadows of the Ancient Scholar,Song,Americana,2025,6915,Ember of Devotion,Ember of Devotion,Song,Symphonic Metal,2014
InterpolatesFrom,12508,Silent Exclamation,Silent Exclamation,Album,Dream Pop,2025,11037,Whispers from a New World,Whispers from a New World,Song,Psychedelic Rock,2014
InterpolatesFrom,12842,Miles from My Horizon,Miles from My Horizon,Album,Indie Folk,2025,4653,Healing in Hindsight,Healing in Hindsight,Song,Synthwave,2014
InStyleOf,11331,Sovereign's Whisper,Sovereign's Whisper,Album,Dream Pop,2025,11522,Echoes from Archie's Valley,Echoes from Archie's Valley,Album,Psychedelic Rock,2015
InStyleOf,13155,Windmill Memories,Windmill Memories,Song,Alternative Rock,2025,14351,Echoes of Time,Echoes of Time,Album,Alternative Rock,2015
InStyleOf,14675,Whispers of the Classical Strings,Whispers of the Classical Strings,Song,Avant-Garde Folk,2025,15388,Echoes of the Koto,Echoes of the Koto,Song,Avant-Garde Folk,2015
InStyleOf,15063,Scattered Borders,Scattered Borders,Song,Lo-Fi Electronica,2025,14780,Beyond Words,Beyond Words,Song,Lo-Fi Electronica,2015
InStyleOf,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,4557,Tears Left Unshed,Tears Left Unshed,Song,Avant-Garde Folk,2015
InterpolatesFrom,6293,Scars of Knowledge,Scars of Knowledge,Song,Dream Pop,2025,10469,Garden of Divided Colors,Garden of Divided Colors,Song,Space Rock,2015
LyricalReferenceTo,14843,Sunlight's Embrace,Sunlight's Embrace,Song,Psychedelic Rock,2025,14887,Call of the Submerged Seductress,Call of the Submerged Seductress,Album,Dream Pop,2015
CoverOf,13155,Windmill Memories,Windmill Memories,Song,Alternative Rock,2025,11446,Echoes from Carmela's Heart,Echoes from Carmela's Heart,Album,Alternative Rock,2016
CoverOf,14675,Whispers of the Classical Strings,Whispers of the Classical Strings,Song,Avant-Garde Folk,2025,11365,Swallow Your Pride,Swallow Your Pride,Song,Southern Gothic Rock,2016
DirectlySamples,10659,"Silent Hooves, Whispering Forest","Silent Hooves, Whispering Forest",Song,Dream Pop,2025,10281,Timelines Converge,Timelines Converge,Song,Synthwave,2016
InStyleOf,985,Uncertain Heartlines,Uncertain Heartlines,Song,Dream Pop,2025,15966,Damn Straight,Damn Straight,Song,Southern Gothic Rock,2016
InStyleOf,2102,Granite Heartbeat,Granite Heartbeat,Album,Americana,2025,9335,Scarves and Streetlight Shadows,Scarves and Streetlight Shadows,Song,Indie Rock,2016
InStyleOf,2303,Invisible Currents,Invisible Currents,Song,Alternative Rock,2025,7012,Keyboard's Ethereal Dance,Keyboard's Ethereal Dance,Album,Southern Gothic Rock,2016
InStyleOf,11826,Whispers of Ink and Memory,Whispers of Ink and Memory,Song,Speed Metal,2025,12692,Steel and Green: A Biscayan Tale,Steel and Green: A Biscayan Tale,Song,Speed Metal,2016
InterpolatesFrom,16205,Incomplete Puzzle,Incomplete Puzzle,Album,Darkwave,2025,13632,The Dripping Diaries of Gerd,The Dripping Diaries of Gerd,Song,Darkwave,2016
LyricalReferenceTo,1933,Wandering Miles,Wandering Miles,Song,Avant-Garde Folk,2025,15643,Steppe of My Soul,Steppe of My Soul,Song,Southern Gothic Rock,2016
LyricalReferenceTo,11331,Sovereign's Whisper,Sovereign's Whisper,Album,Dream Pop,2025,10281,Timelines Converge,Timelines Converge,Song,Synthwave,2016
LyricalReferenceTo,11331,Sovereign's Whisper,Sovereign's Whisper,Album,Dream Pop,2025,9335,Scarves and Streetlight Shadows,Scarves and Streetlight Shadows,Song,Indie Rock,2016
LyricalReferenceTo,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,7012,Keyboard's Ethereal Dance,Keyboard's Ethereal Dance,Album,Southern Gothic Rock,2016
CoverOf,3118,The Ridges of Blood,The Ridges of Blood,Album,Space Rock,2025,10608,Sovereign Heartbeat,Sovereign Heartbeat,Song,Space Rock,2017
CoverOf,6087,Celestial Maiden's Lament,Celestial Maiden's Lament,Song,Doom Metal,2025,12245,Harbor Harmony,Harbor Harmony,Song,Indie Folk,2017
CoverOf,8892,Sun-Baked Terracotta,Sun-Baked Terracotta,Album,Desert Rock,2025,13978,Pocket Change Ballad,Pocket Change Ballad,Song,Space Rock,2017
DirectlySamples,7520,Echoes of the Forest Guardian,Echoes of the Forest Guardian,Song,Dream Pop,2025,12705,Winds of the Northern Shores,Winds of the Northern Shores,Song,Indie Folk,2017
DirectlySamples,7581,"The Eldest, The Middle, The Youngest","The Eldest, The Middle, The Youngest",Song,Americana,2025,14143,The Crusader's Lament,The Crusader's Lament,Song,Darkwave,2017
InStyleOf,1933,Wandering Miles,Wandering Miles,Song,Avant-Garde Folk,2025,4167,The Interest Rises,The Interest Rises,Album,Southern Gothic Rock,2017
InStyleOf,6064,Willpower Wins,Willpower Wins,Song,Dream Pop,2025,8516,Dòng Máu Quê Hương (Blood of My Homeland),Dòng Máu Quê Hương (Blood of My Homeland),Song,Psychedelic Rock,2017
InStyleOf,6976,Thorns Between My Fingers,Thorns Between My Fingers,Album,Indie Folk,2025,6994,Clocktower Cadence,Clocktower Cadence,Song,Oceanus Folk,2017
InStyleOf,7086,Halos Without Harm,Halos Without Harm,Song,Synthwave,2025,7844,Hallowed Whispers of Majesty,Hallowed Whispers of Majesty,Song,Synthwave,2017
InStyleOf,9505,Legacy of Sacrifice,Legacy of Sacrifice,Song,Dream Pop,2025,9681,Whispers of Gaia,Whispers of Gaia,Album,Indie Folk,2017
InStyleOf,11329,Crown and Conscience,Crown and Conscience,Song,Space Rock,2025,3025,Destiny's Call,Destiny's Call,Song,Oceanus Folk,2017
InStyleOf,12313,Falling Into Forever,Falling Into Forever,Album,Dream Pop,2025,445,Twilight at Saint-Genevieve,Twilight at Saint-Genevieve,Album,Psychedelic Rock,2017
InStyleOf,13321,Rootless Heart,Rootless Heart,Song,Psychedelic Rock,2025,12515,Melodic Gasp,Melodic Gasp,Album,Psychedelic Rock,2017
InStyleOf,13369,Sovereign of Endless Realms,Sovereign of Endless Realms,Song,Space Rock,2025,14762,Heavenly Radiance,Heavenly Radiance,Song,Oceanus Folk,2017
InStyleOf,13600,Scars and Surrenders,Scars and Surrenders,Song,Dream Pop,2025,12691,Winds of the Basque Shore,Winds of the Basque Shore,Album,Oceanus Folk,2017
InStyleOf,14535,Obsession's Melody,Obsession's Melody,Song,Indie Pop,2025,10848,Vykort från en Sommarö (Postcard from a Summer Island),Vykort från en Sommarö (Postcard from a Summer Island),Album,Indie Pop,2017
InStyleOf,14675,Whispers of the Classical Strings,Whispers of the Classical Strings,Song,Avant-Garde Folk,2025,15964,Counterpoint of Silence,Counterpoint of Silence,Song,Avant-Garde Folk,2017
InStyleOf,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,6864,Echoes from the Elfin Veil,Echoes from the Elfin Veil,Song,Avant-Garde Folk,2017
InStyleOf,15741,Surrender's Echo,Surrender's Echo,Album,Dream Pop,2025,6949,Whispered Benedictions,Whispered Benedictions,Song,Indie Rock,2017
InStyleOf,15886,Intellectual Passion,Intellectual Passion,Song,Desert Rock,2025,14762,Heavenly Radiance,Heavenly Radiance,Song,Oceanus Folk,2017
InStyleOf,16305,Rhythm of Two Hearts,Rhythm of Two Hearts,Song,Indie Folk,2025,10839,Shadows of Mariele,Shadows of Mariele,Song,Indie Folk,2017
InStyleOf,16699,Whispers in Ward 7,Whispers in Ward 7,Song,Doom Metal,2025,14987,The Idiot's Lament,The Idiot's Lament,Song,Doom Metal,2017
InterpolatesFrom,321,Soil of My Soul,Soil of My Soul,Song,Space Rock,2025,14987,The Idiot's Lament,The Idiot's Lament,Song,Doom Metal,2017
InterpolatesFrom,5980,Sacred Resonance,Sacred Resonance,Song,Indie Rock,2025,11319,Whispers Between Empty Pavements,Whispers Between Empty Pavements,Album,Indie Rock,2017
InterpolatesFrom,6655,Unspoken Bond,Unspoken Bond,Album,Dream Pop,2025,12867,Pulse of Desire,Pulse of Desire,Song,Indie Rock,2017
InterpolatesFrom,10659,"Silent Hooves, Whispering Forest","Silent Hooves, Whispering Forest",Song,Dream Pop,2025,10342,Carols of the Silent Night,Carols of the Silent Night,Song,Dream Pop,2017
LyricalReferenceTo,5882,Celestial Weave,Celestial Weave,Album,Synthwave,2025,8251,Gerak Membangun Desa,Gerak Membangun Desa,Song,Doom Metal,2017
LyricalReferenceTo,5882,Celestial Weave,Celestial Weave,Album,Synthwave,2025,14118,Whispers Between Snowflakes,Whispers Between Snowflakes,Song,Indie Folk,2017
LyricalReferenceTo,6976,Thorns Between My Fingers,Thorns Between My Fingers,Album,Indie Folk,2025,3194,Abundance Overflowing,Abundance Overflowing,Song,Oceanus Folk,2017
CoverOf,10659,"Silent Hooves, Whispering Forest","Silent Hooves, Whispering Forest",Song,Dream Pop,2025,9230,Echoes of the Maritime Realm,Echoes of the Maritime Realm,Song,Dream Pop,2018
CoverOf,11263,The Drover's Lament,The Drover's Lament,Album,Post-Apocalyptic Folk,2025,4046,Sweet Katharina's Lament,Sweet Katharina's Lament,Album,Jazz Surf Rock,2018
CoverOf,16699,Whispers in Ward 7,Whispers in Ward 7,Song,Doom Metal,2025,4046,Sweet Katharina's Lament,Sweet Katharina's Lament,Album,Jazz Surf Rock,2018
DirectlySamples,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,15745,Defeat's Refrain,Defeat's Refrain,Album,Southern Gothic Rock,2018
InStyleOf,683,Whispers of a Father's Heart,Whispers of a Father's Heart,Album,Jazz Surf Rock,2025,5216,Twilight's Gypsy Memories,Twilight's Gypsy Memories,Song,Jazz Surf Rock,2018
InStyleOf,1933,Wandering Miles,Wandering Miles,Song,Avant-Garde Folk,2025,14510,Pastoral Tiara,Pastoral Tiara,Album,Southern Gothic Rock,2018
InStyleOf,11331,Sovereign's Whisper,Sovereign's Whisper,Album,Dream Pop,2025,9995,Ethereal Afterthoughts,Ethereal Afterthoughts,Song,Dream Pop,2018
InStyleOf,11331,Sovereign's Whisper,Sovereign's Whisper,Album,Dream Pop,2025,6229,Stones of the Holy City,Stones of the Holy City,Album,Synthwave,2018
InStyleOf,13321,Rootless Heart,Rootless Heart,Song,Psychedelic Rock,2025,1502,The Crown of Elegance,The Crown of Elegance,Song,Psychedelic Rock,2018
InterpolatesFrom,1933,Wandering Miles,Wandering Miles,Song,Avant-Garde Folk,2025,6503,Bund Boogie,Bund Boogie,Song,Emo/Pop Punk,2018
InterpolatesFrom,4839,Crossing the Tay Bridge at Twilight,Crossing the Tay Bridge at Twilight,Song,Americana,2025,6367,Lips Like Silk,Lips Like Silk,Album,Americana,2018
InterpolatesFrom,15789,Speak Between The Lines,Speak Between The Lines,Song,Southern Gothic Rock,2025,6746,Sunset Continuum,Sunset Continuum,Song,Southern Gothic Rock,2018
LyricalReferenceTo,5980,Sacred Resonance,Sacred Resonance,Song,Indie Rock,2025,15771,Tea and Rebellion,Tea and Rebellion,Song,Indie Rock,2018
LyricalReferenceTo,10941,Familiar Strangers,Familiar Strangers,Song,Indie Rock,2025,8615,Grace in Motion,Grace in Motion,Album,Indie Folk,2018
LyricalReferenceTo,11515,Perfectly Plastic,Perfectly Plastic,Song,Oceanus Folk,2025,4046,Sweet Katharina's Lament,Sweet Katharina's Lament,Album,Jazz Surf Rock,2018
LyricalReferenceTo,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,6158,They Won't Understand Our Vision,They Won't Understand Our Vision,Song,Avant-Garde Folk,2018
CoverOf,329,Decade's Melody of Memories,Decade's Melody of Memories,Song,Blues Rock,2025,9690,Forward Motion,Forward Motion,Song,Blues Rock,2019
CoverOf,1895,Yeni Doğan Devrim (Newborn Revolution),Yeni Doğan Devrim (Newborn Revolution),Song,Desert Rock,2025,12652,Primal Court of Reckoning,Primal Court of Reckoning,Album,Indie Folk,2019
CoverOf,2327,The Chambered Melody,The Chambered Melody,Song,Speed Metal,2025,7138,Kerosene Memories,Kerosene Memories,Song,Speed Metal,2019
CoverOf,6954,Masked Whispers of the Commedia,Masked Whispers of the Commedia,Song,Jazz Surf Rock,2025,3087,Recall the Firebrand,Recall the Firebrand,Album,Jazz Surf Rock,2019
CoverOf,9831,Wisdom's Edge,Wisdom's Edge,Song,Space Rock,2025,16189,Whispers of Curiosity,Whispers of Curiosity,Song,Americana,2019
DirectlySamples,13567,Lowered Expectations,Lowered Expectations,Album,Lo-Fi Electronica,2025,5928,Mist Over Mount Washu,Mist Over Mount Washu,Song,Lo-Fi Electronica,2019
InStyleOf,7520,Echoes of the Forest Guardian,Echoes of the Forest Guardian,Song,Dream Pop,2025,13546,When Darkness Breaks,When Darkness Breaks,Song,Doom Metal,2019
InStyleOf,7672,Mineral Whispers,Mineral Whispers,Song,Dream Pop,2025,2440,Falling Without Landing,Falling Without Landing,Album,Dream Pop,2019
InStyleOf,13457,Nature's Tender Embrace,Nature's Tender Embrace,Song,Dream Pop,2025,11097,Where the Horizons Whisper,Where the Horizons Whisper,Song,Darkwave,2019
InStyleOf,16205,Incomplete Puzzle,Incomplete Puzzle,Album,Darkwave,2025,14401,Floor Fever,Floor Fever,Song,Darkwave,2019
InterpolatesFrom,329,Decade's Melody of Memories,Decade's Melody of Memories,Song,Blues Rock,2025,4378,Reservations for One,Reservations for One,Song,Southern Gothic Rock,2019
InterpolatesFrom,5489,Sealed with Unspoken Words,Sealed with Unspoken Words,Album,Dream Pop,2025,11097,Where the Horizons Whisper,Where the Horizons Whisper,Song,Darkwave,2019
InterpolatesFrom,6087,Celestial Maiden's Lament,Celestial Maiden's Lament,Song,Doom Metal,2025,1057,Sutter's Mill Memories,Sutter's Mill Memories,Album,Indie Folk,2019
InterpolatesFrom,8667,Humble Heart's Echo,Humble Heart's Echo,Song,Psychedelic Rock,2025,9516,Neural Network Blues,Neural Network Blues,Song,Psychedelic Rock,2019
InterpolatesFrom,14675,Whispers of the Classical Strings,Whispers of the Classical Strings,Song,Avant-Garde Folk,2025,1539,Şans Eseri (By Chance),Şans Eseri (By Chance),Song,Indie Pop,2019
LyricalReferenceTo,3118,The Ridges of Blood,The Ridges of Blood,Album,Space Rock,2025,6564,Dados del Destino (Dice of Destiny),Dados del Destino (Dice of Destiny),Song,Space Rock,2019
LyricalReferenceTo,8439,Nautical Legends in Blue,Nautical Legends in Blue,Song,Dream Pop,2025,4178,Unveiling Memories,Unveiling Memories,Album,Dream Pop,2019
LyricalReferenceTo,10659,"Silent Hooves, Whispering Forest","Silent Hooves, Whispering Forest",Song,Dream Pop,2025,8245,Tanah Kita Bangkit,Tanah Kita Bangkit,Album,Space Rock,2019
LyricalReferenceTo,12369,Fallout Shelter Lullaby,Fallout Shelter Lullaby,Song,Dream Pop,2025,11472,Footwork Philosophy,Footwork Philosophy,Album,Dream Pop,2019
LyricalReferenceTo,16287,Balanced Fever,Balanced Fever,Song,Synthwave,2025,15409,Moonlit Matrimony of Shadows,Moonlit Matrimony of Shadows,Song,Dream Pop,2019
CoverOf,569,Wanderlust and Desire,Wanderlust and Desire,Song,Dream Pop,2025,16100,Maple Leaf Nomad,Maple Leaf Nomad,Song,Dream Pop,2020
CoverOf,6064,Willpower Wins,Willpower Wins,Song,Dream Pop,2025,1145,Unattached,Unattached,Song,Dream Pop,2020
CoverOf,6954,Masked Whispers of the Commedia,Masked Whispers of the Commedia,Song,Jazz Surf Rock,2025,7080,Celestial Conscience,Celestial Conscience,Album,Indie Folk,2020
CoverOf,11263,The Drover's Lament,The Drover's Lament,Album,Post-Apocalyptic Folk,2025,13302,Fair Exchange,Fair Exchange,Song,Indie Rock,2020
CoverOf,11562,Courtly Shadows and Silk,Courtly Shadows and Silk,Song,Southern Gothic Rock,2025,9040,Meridian Drift,Meridian Drift,Song,Southern Gothic Rock,2020
DirectlySamples,9301,Echoes from the Grasslands,Echoes from the Grasslands,Song,Symphonic Metal,2025,12761,Winds of Anatolia,Winds of Anatolia,Song,Symphonic Metal,2020
DirectlySamples,14814,Hay Whispers,Hay Whispers,Album,Synthwave,2025,11842,"Crossing Continents, Sharing Faith","Crossing Continents, Sharing Faith",Song,Americana,2020
InStyleOf,1693,Blood and Imperial Desire,Blood and Imperial Desire,Song,Psychedelic Rock,2025,10252,Hollow Heart,Hollow Heart,Album,Indie Folk,2020
InStyleOf,5882,Celestial Weave,Celestial Weave,Album,Synthwave,2025,9966,Generations Unborn,Generations Unborn,Song,Indie Folk,2020
InStyleOf,7161,Midnight Howl Symphony,Midnight Howl Symphony,Song,Synthwave,2025,467,Divine Architecture,Divine Architecture,Song,Post-Apocalyptic Folk,2020
InStyleOf,11393,Shadows of the Ancient Scholar,Shadows of the Ancient Scholar,Song,Americana,2025,1723,Carousel of Judgment,Carousel of Judgment,Song,Dream Pop,2020
InStyleOf,12250,Mediterranean Melody,Mediterranean Melody,Song,Americana,2025,5680,Gaul's Last Hangover,Gaul's Last Hangover,Song,Americana,2020
InStyleOf,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,10120,Devour My Heart,Devour My Heart,Song,Avant-Garde Folk,2020
InterpolatesFrom,8667,Humble Heart's Echo,Humble Heart's Echo,Song,Psychedelic Rock,2025,4547,Concrete Crown,Concrete Crown,Song,Psychedelic Rock,2020
InterpolatesFrom,10443,Breaking Through,Breaking Through,Song,Psychedelic Rock,2025,4675,Wha?,Wha?,Song,Desert Rock,2020
InterpolatesFrom,11888,Mette's Promise,Mette's Promise,Album,Psychedelic Rock,2025,7107,Traces of Yesterday,Traces of Yesterday,Song,Dream Pop,2020
LyricalReferenceTo,7161,Midnight Howl Symphony,Midnight Howl Symphony,Song,Synthwave,2025,11672,Sappho's Secret Garden,Sappho's Secret Garden,Song,Post-Apocalyptic Folk,2020
LyricalReferenceTo,12313,Falling Into Forever,Falling Into Forever,Album,Dream Pop,2025,4547,Concrete Crown,Concrete Crown,Song,Psychedelic Rock,2020
CoverOf,1076,Snapshot Shadows,Snapshot Shadows,Song,Dream Pop,2025,3991,Instrument Failure,Instrument Failure,Song,Synthwave,2021
CoverOf,7581,"The Eldest, The Middle, The Youngest","The Eldest, The Middle, The Youngest",Song,Americana,2025,10211,Remedies of the Ancient Realm,Remedies of the Ancient Realm,Song,Space Rock,2021
CoverOf,13457,Nature's Tender Embrace,Nature's Tender Embrace,Song,Dream Pop,2025,9749,The Silence Between Heartbeats,The Silence Between Heartbeats,Album,Synthwave,2021
CoverOf,14424,Waiting by the Lakeshore,Waiting by the Lakeshore,Song,Dream Pop,2025,764,Windswept Bloodline,Windswept Bloodline,Song,Dream Pop,2021
InStyleOf,6820,Azure Escape,Azure Escape,Song,Space Rock,2025,9749,The Silence Between Heartbeats,The Silence Between Heartbeats,Album,Synthwave,2021
InStyleOf,9301,Echoes from the Grasslands,Echoes from the Grasslands,Song,Symphonic Metal,2025,7736,Immolation of the Heart,Immolation of the Heart,Album,Jazz Surf Rock,2021
InStyleOf,12250,Mediterranean Melody,Mediterranean Melody,Song,Americana,2025,5004,Harmonic Septet in Amber,Harmonic Septet in Amber,Song,Synthwave,2021
InStyleOf,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,12344,Whispers from the Bamboo Grove,Whispers from the Bamboo Grove,Song,Alternative Rock,2021
InterpolatesFrom,7461,Heartbeat's Embrace,Heartbeat's Embrace,Song,Indie Folk,2025,6427,Celebration's Spark,Celebration's Spark,Album,Synthwave,2021
InterpolatesFrom,14424,Waiting by the Lakeshore,Waiting by the Lakeshore,Song,Dream Pop,2025,14112,Streetlights in Snow,Streetlights in Snow,Album,Synthwave,2021
InterpolatesFrom,14814,Hay Whispers,Hay Whispers,Album,Synthwave,2025,4228,Ripples and Stones,Ripples and Stones,Song,Synthwave,2021
CoverOf,6976,Thorns Between My Fingers,Thorns Between My Fingers,Album,Indie Folk,2025,7224,Postcards from Julianne's Heart,Postcards from Julianne's Heart,Song,Oceanus Folk,2022
CoverOf,15241,Nordisk Ljusdans (Nordic Light Dance),Nordisk Ljusdans (Nordic Light Dance),Song,Avant-Garde Folk,2025,10431,Vague Silhouette,Vague Silhouette,Album,Emo/Pop Punk,2022
DirectlySamples,8892,Sun-Baked Terracotta,Sun-Baked Terracotta,Album,Desert Rock,2025,3697,Whispers at Sunset,Whispers at Sunset,Song,Darkwave,2022
DirectlySamples,8892,Sun-Baked Terracotta,Sun-Baked Terracotta,Album,Desert Rock,2025,13332,Mozart's Numerical Ghost,Mozart's Numerical Ghost,Song,Darkwave,2022
InStyleOf,3652,Wishful Thinking Anthem,Wishful Thinking Anthem,Song,Dream Pop,2025,7278,Requiem for a Fading Self,Requiem for a Fading Self,Song,Synthwave,2022
InStyleOf,3652,Wishful Thinking Anthem,Wishful Thinking Anthem,Song,Dream Pop,2025,9308,Ancestral Melodies of the Plains,Ancestral Melodies of the Plains,Song,Dream Pop,2022
InStyleOf,6307,Gaze of Understanding,Gaze of Understanding,Song,Dream Pop,2025,7278,Requiem for a Fading Self,Requiem for a Fading Self,Song,Synthwave,2022
InStyleOf,7581,"The Eldest, The Middle, The Youngest","The Eldest, The Middle, The Youngest",Song,Americana,2025,3362,Rising From the Shadows,Rising From the Shadows,Song,Synthwave,2022
InStyleOf,7581,"The Eldest, The Middle, The Youngest","The Eldest, The Middle, The Youngest",Song,Americana,2025,10928,Whispers in the Shadows,Whispers in the Shadows,Album,Dream Pop,2022
InStyleOf,9301,Echoes from the Grasslands,Echoes from the Grasslands,Song,Symphonic Metal,2025,7632,Garbage Warrior's Lament,Garbage Warrior's Lament,Song,Dream Pop,2022
InStyleOf,11439,Carmela's Midnight Dance,Carmela's Midnight Dance,Song,Southern Gothic Rock,2025,9827,Evighetens Sång (Song of Eternity),Evighetens Sång (Song of Eternity),Song,Southern Gothic Rock,2022
InStyleOf,12250,Mediterranean Melody,Mediterranean Melody,Song,Americana,2025,9308,Ancestral Melodies of the Plains,Ancestral Melodies of the Plains,Song,Dream Pop,2022
InStyleOf,13243,Fragile Glass Heart,Fragile Glass Heart,Song,Psychedelic Rock,2025,15261,Whispers in the Moonlight,Whispers in the Moonlight,Song,Psychedelic Rock,2022
InterpolatesFrom,8894,Picnic Vessel Memories,Picnic Vessel Memories,Song,Darkwave,2025,3879,Palabras del Corazón,Palabras del Corazón,Album,Darkwave,2022
