Direction,Influence_Type,OF_Song,OF_Song_Year,OF_Artist,Other_Song,Other_Genre,Other_Year,Other_Artist
OF Influenced Others,CoverOf,Fragments of Consciousness,2014,"Alphons Donati-Pederiva, Augusto Villaverde Armengol, Feliciano Pizarro Moll, Filippo Pelli, Interval Shift, Martino Michelangeli",Lonesome Trail Ballad,Americana,2013,"Filippo Pelli, Interval Shift, Martino Michelangeli"
OF Influenced Others,DirectlySamples,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Celestial Praise,Oceanus Folk,2029,"Guiying Tang, Guiying Zhong, Lei Liao, Lei Qian, Qiang Yang"
OF Influenced Others,DirectlySamples,Completely Crazy (About You),2013,"Courtney Phillips, Kelli Turner, Latasha Chavez",Celestial Praise,Oceanus Folk,2029,"Guiying Tang, Guiying Zhong, Lei Liao, Lei Qian, Qiang Yang"
OF Influenced Others,InStyleOf,Everything's Alright,2020,"Kaori Kobayashi, Yui Kondo",Celestial Praise,Oceanus Folk,2029,"Guiying Tang, Guiying Zhong, Lei Liao, Lei Qian, Qiang Yang"
OF Influenced Others,InStyleOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Reef Road Reverie,Oceanus Folk,2030,"Jie Li, Mary King, Xia Wu, Xia Zhao"
OF Influenced Others,CoverOf,Whispers in Maria's Slumber,2010,"Aneta Pruschke-Sölzer, Cesare Cicilia, Coriolano Luria-Scialpi, Filippo Pelli, Isabella Farinelli",Analog Affection Anthem,Doom Metal,2023,"Janina Kałek, Jun Wang, Justin Williams"
OF Influenced Others,InStyleOf,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Whispers Between Dimensions,Oceanus Folk,2027,"Jie Xu, Na Dai, Qiang Jiang, Xia Wu, Yan Chang"
OF Influenced Others,InStyleOf,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Winds of the Basque Shore,Oceanus Folk,2017,"Chao Wu, Donna Caldwell, Xiulan Ye"
OF Influenced Others,DirectlySamples,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Grease Lightning,Space Rock,2027,"Chao Song, Ming Zhao, Tao Bai"
OF Influenced Others,CoverOf,Completely Crazy (About You),2013,"Courtney Phillips, Kelli Turner, Latasha Chavez",Grease Lightning,Space Rock,2027,"Chao Song, Ming Zhao, Tao Bai"
OF Influenced Others,LyricalReferenceTo,Shylock's Shadows,2020,"Chao Qiao, Jun Xu, Karen Robinson, Xiuying Kang",The Crucible of Strings,Synthwave,2030,"Gang Chen, Juan Lu, Ming Shi, Ming Xiao, Na Han, Yan Luo"
OF Influenced Others,InStyleOf,Eternal Light Descends,2023,"Juan Qiao, Jun Jin, Na Ma, Qiang Song, Xiulan Ren",The Crucible of Strings,Synthwave,2030,"Gang Chen, Juan Lu, Ming Shi, Ming Xiao, Na Han, Yan Luo"
OF Influenced Others,DirectlySamples,Whispers Between Dimensions,2027,"Jie Xu, Na Dai, Qiang Jiang, Xia Wu, Yan Chang",Whispers from the Unwritten Score,Synthwave,2029,"Crimson Theorem, Guiying Liao, Jie Cui, Jun Wen, Ping Sun, Yan Zou"
OF Influenced Others,DirectlySamples,Aerial Conquistadors,2026,"Guiying Liao, Jie Cui, Min Jin, Ping Sun, Yan Zou",Whispers from the Unwritten Score,Synthwave,2029,"Crimson Theorem, Guiying Liao, Jie Cui, Jun Wen, Ping Sun, Yan Zou"
OF Influenced Others,InStyleOf,Whispers in Maria's Slumber,2010,"Aneta Pruschke-Sölzer, Cesare Cicilia, Coriolano Luria-Scialpi, Filippo Pelli, Isabella Farinelli",Cardiac Whispers,Oceanus Folk,2026,John Maldonado
OF Influenced Others,InStyleOf,Rhythm Revolution,2022,"Chao Zeng, Gang Jiang, Jing Zhong, Xia Xiang",Cardiac Whispers,Oceanus Folk,2026,John Maldonado
OF Influenced Others,LyricalReferenceTo,Roots and Winds of Departure,2010,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Zoé-Agnès Delaunay, Édouard-Rémy Clerc",Shadows Beneath the Palm,Oceanus Folk,2026,Michael Rivera
OF Influenced Others,CoverOf,Crimson Ledger of the Desert Riders,2023,"Juan Gu, Qiang Dai, Tao Chang, Xiulan He",Caravans and Starlight,Indie Folk,2027,Lei Liao
OF Influenced Others,InterpolatesFrom,Dust and Spurs,2024,"Ping Peng, Xia Jia, Xiulan Gu, Xiulan Xu",Kingdom Within,Desert Rock,2029,"Gang Tan, Kinship Harmony, Ping Peng, Ping Wu, Xia Jia"
OF Influenced Others,CoverOf,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Kingdom Within,Desert Rock,2029,"Gang Tan, Kinship Harmony, Ping Peng, Ping Wu, Xia Jia"
OF Influenced Others,InterpolatesFrom,Exile's Whisper,2004,Ann Holland,Shadows in the Forest,Indie Folk,2026,"Annetta Molesini, Augusto Franzese, Aurora Vendetti, Eleanora Bersani"
OF Influenced Others,LyricalReferenceTo,Chromatic Reflections on a Theme,2026,Stephen Allen,Spellbound Shadows,Dream Pop,2029,Jun Yu
OF Influenced Others,InterpolatesFrom,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Forgotten Lands of Sidböle,Desert Rock,2024,"Gang Peng, Xia Wen, Xiuying Qian, Xiuying Yin"
OF Influenced Others,DirectlySamples,Exile's Whisper,2004,Ann Holland,The Wisdom of Not Knowing,Oceanus Folk,2027,"Jason Vaughn, Summer Bender"
OF Influenced Others,CoverOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",The Wisdom of Not Knowing,Oceanus Folk,2027,"Jason Vaughn, Summer Bender"
OF Influenced Others,InStyleOf,Whispers from a Distant Refrain,2017,Monica Nelson,The Wisdom of Not Knowing,Oceanus Folk,2027,"Jason Vaughn, Summer Bender"
OF Influenced Others,DirectlySamples,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",The Wisdom of Not Knowing,Oceanus Folk,2027,"Jason Vaughn, Summer Bender"
OF Influenced Others,InStyleOf,Echoes of Joy,2023,"Guiying Tao, Ming Qiao",Whispers of Harvest Stillness,Indie Folk,2027,"Chao Shao, Jun Fang, Min Shao, Min Wen, Xiulan Gong"
OF Influenced Others,DirectlySamples,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Cash Charisma,Indie Folk,2030,"Cosmic Drift, Lei Shen, Lei Zeng, Xia Cui, Xiuying Li"
OF Influenced Others,InterpolatesFrom,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Cash Charisma,Indie Folk,2030,"Cosmic Drift, Lei Shen, Lei Zeng, Xia Cui, Xiuying Li"
OF Influenced Others,LyricalReferenceTo,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Cash Charisma,Indie Folk,2030,"Cosmic Drift, Lei Shen, Lei Zeng, Xia Cui, Xiuying Li"
OF Influenced Others,InStyleOf,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Sovereign of Endless Realms,Space Rock,2025,"Xiuying Yin, Yang Zeng"
OF Influenced Others,InterpolatesFrom,Fragments of Friendship,2024,"David Nash, Gang Yang",Waiting by the Phone,Oceanus Folk,2029,"Tao Cui, Yan Zhu"
OF Influenced Others,LyricalReferenceTo,Choreography of Forbidden Passion,2017,"Bryan Smith, Emily Jackson, Ronald Kennedy",Waiting by the Phone,Oceanus Folk,2029,"Tao Cui, Yan Zhu"
OF Influenced Others,InStyleOf,Falling Without a Parachute,2027,"Ming Du, Morgan Hernandez, Patricia Pope, Ping Shao",Voice Beyond the Line,Dream Pop,2028,"Jing Han, Jun Meng, Li Mo, Wei Xiong, Xia Fang, Yang Sun, Yong Liang"
OF Influenced Others,LyricalReferenceTo,Motherland's Golden Horizon,2010,Min Ding,Constellation of Us,Oceanus Folk,2013,"Chao Xiao, Lei Zheng, Ping Song, Xiulan Mo"
OF Influenced Others,CoverOf,Tenement of Freedom,2014,"James Clark, Ming Su, Vanessa Ramos",Infinite Horizon,Doom Metal,2017,"Lei Luo, Richard Johnson, Thomas King"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Whispers of Forever,Oceanus Folk,2019,"Min Liang, Na Li, Na Yi, Xia Shao, Xia Wang"
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Whispers of Forever,Oceanus Folk,2019,"Min Liang, Na Li, Na Yi, Xia Shao, Xia Wang"
OF Influenced Others,InStyleOf,Rhythm Revolution,2022,"Chao Zeng, Gang Jiang, Jing Zhong, Xia Xiang",Altar of Promises,Americana,2023,"Chao Liu, Chao Zeng, Xia Xiang"
OF Influenced Others,CoverOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Fireworks and Freedom,Oceanus Folk,2017,"Amber Ramsey, Chad Marks, Edward Little"
OF Influenced Others,InStyleOf,Tenement of Freedom,2014,"James Clark, Ming Su, Vanessa Ramos",Fireworks and Freedom,Oceanus Folk,2017,"Amber Ramsey, Chad Marks, Edward Little"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Summer of '76,Oceanus Folk,2024,"Min Mo, Ming Zhong, Ping Liao"
OF Influenced Others,InterpolatesFrom,Paradise Parallel,2017,"Na Qian, Qiang Qian, Tao Jin, Yong Dong",Summer of '76,Oceanus Folk,2024,"Min Mo, Ming Zhong, Ping Liao"
OF Influenced Others,LyricalReferenceTo,Exile's Whisper,2004,Ann Holland,Unique Frequencies,Synthpop,2017,"Midnight Protocol, Na Mao, Ping Ding, Qiang Dong, Xiuying Zhu"
OF Influenced Others,InStyleOf,Winds of the Basque Shore,2017,"Chao Wu, Donna Caldwell, Xiulan Ye",Scars and Surrenders,Dream Pop,2025,"Brittany Horn, Gang Lin, Jun Yu"
OF Influenced Others,DirectlySamples,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Silent Goodbye,Indie Folk,2026,"Craig Lewis, Jing Gao, Min Fu, Ming Mao, Xia Mao, Xiuying Huang, Yang Pan"
OF Influenced Others,LyricalReferenceTo,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Silent Goodbye,Indie Folk,2026,"Craig Lewis, Jing Gao, Min Fu, Ming Mao, Xia Mao, Xiuying Huang, Yang Pan"
OF Influenced Others,InterpolatesFrom,Light Before Sunrise,2013,"Chiyo Suzuki, Kaori Watanabe, Tomoya Nakamura",Silent Goodbye,Indie Folk,2026,"Craig Lewis, Jing Gao, Min Fu, Ming Mao, Xia Mao, Xiuying Huang, Yang Pan"
OF Influenced Others,InStyleOf,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Silent Goodbye,Indie Folk,2026,"Craig Lewis, Jing Gao, Min Fu, Ming Mao, Xia Mao, Xiuying Huang, Yang Pan"
OF Influenced Others,InStyleOf,Mirage of Memories,2023,"Brandy Reyes, Laura Gibbs, Mary Medina, Raymond Mccoy, Rhonda Brown",Silent Goodbye,Indie Folk,2026,"Craig Lewis, Jing Gao, Min Fu, Ming Mao, Xia Mao, Xiuying Huang, Yang Pan"
OF Influenced Others,LyricalReferenceTo,The Last Goodbye's Farewell,2007,"Georgina Piñol-Guerra, Isabella Farinelli",Salt-Stained Serenade,Dream Pop,2027,"Chao Lin, Emily Nelson, Lei Yi, Ming Hou, Nordic Kitchen Collective, Qiang Zhao"
OF Influenced Others,CoverOf,Perimeter,2020,Chao Zhou,Montmartre Petals,Space Rock,2022,"Bartek Krężołek, Mikołaj Rosłoń, Radosław Duszkiewicz, Stefan Berus, Undetected"
OF Influenced Others,LyricalReferenceTo,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Grip of Memory,Oceanus Folk,2026,"Jonathan Morris, Ming Xiao, Xiuying Wei"
OF Influenced Others,InterpolatesFrom,Aquatic Rebirth (1983),2023,"Christine Ward, Donald Medina, Joshua Orozco, Lisa Hofmann, Sonora Flux, Steven Goodman",Grip of Memory,Oceanus Folk,2026,"Jonathan Morris, Ming Xiao, Xiuying Wei"
OF Influenced Others,CoverOf,Courage in Quiet Moments,2023,"Laetitia Petitjean, Madeleine Pineau, Susan Da Silva",Grip of Memory,Oceanus Folk,2026,"Jonathan Morris, Ming Xiao, Xiuying Wei"
OF Influenced Others,InStyleOf,Choreography of Forbidden Passion,2017,"Bryan Smith, Emily Jackson, Ronald Kennedy",Grip of Memory,Oceanus Folk,2026,"Jonathan Morris, Ming Xiao, Xiuying Wei"
OF Influenced Others,CoverOf,Hysterical Revenge,2004,"Alfred Thibault, Synaptic Stream, Thibault Hardy, Zoé-Agnès Delaunay",Echoes of Autumn's Farewell,Post-Apocalyptic Folk,2024,"Brandon Bartlett, Brett Brown, Heidi Jones, Juan Yin, Lunar Syntax, Wei Qiu"
OF Influenced Others,CoverOf,Laughter's Sharp EdgeQuesto Momento Fragile (This Fragile Moment),2028,"Kinship Harmony, Ping Wu, Yang Mo",Parchment and Heresy,Dream Pop,2027,Yang Zhang
OF Influenced Others,LyricalReferenceTo,Snapshot of Forever,2026,"Juan Yu, Lei Jin, Loro, Qiang Song, Yong Lai",Workers' Bloom,Indie Folk,2030,"Guiying Fan, Guiying Pan, Na Zhong, Xiuying Duan"
OF Influenced Others,InStyleOf,The Misplaced Heir,2023,"Gang Meng, Guiying Pan, Ping Zheng, Xia Zhu, Xiuying Duan",Workers' Bloom,Indie Folk,2030,"Guiying Fan, Guiying Pan, Na Zhong, Xiuying Duan"
OF Influenced Others,InterpolatesFrom,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Take It All,Space Rock,2026,"Min Qin, Ping Bai"
OF Influenced Others,InStyleOf,The Last Goodbye's Farewell,2007,"Georgina Piñol-Guerra, Isabella Farinelli",Take It All,Space Rock,2026,"Min Qin, Ping Bai"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Heart on Fire,Space Rock,2024,"Derek Carpenter, Mark Stein, Patricia Massey, Robert Stewart, William Porter"
OF Influenced Others,InterpolatesFrom,Exile's Whisper,2004,Ann Holland,Aşkın Sızısı,Dream Pop,2017,"Li Liao, Tao Peng, Yong Tan"
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Aşkın Sızısı,Dream Pop,2017,"Li Liao, Tao Peng, Yong Tan"
OF Influenced Others,DirectlySamples,Mythical Mane,1992,"Juan Pan, Juan Zeng",Alphabet Anarchy,Oceanus Folk,2020,"Andrew Lee, Jenna York, Michael Gregory, Michael Jefferson"
OF Influenced Others,CoverOf,Shadows in Sleep,2009,"Jennifer Alexander, Lori Young, Sean Riggs",Alphabet Anarchy,Oceanus Folk,2020,"Andrew Lee, Jenna York, Michael Gregory, Michael Jefferson"
OF Influenced Others,CoverOf,Shadows Beneath the Palm,2026,Michael Rivera,Close Enough to Touch,Oceanus Folk,2029,"Devin Chan, Maurice Harrison, Michael Reyes, Michael Rivera, Scott Burke"
OF Influenced Others,CoverOf,Roots and Winds of Departure,2010,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Zoé-Agnès Delaunay, Édouard-Rémy Clerc",Close Enough to Touch,Oceanus Folk,2029,"Devin Chan, Maurice Harrison, Michael Reyes, Michael Rivera, Scott Burke"
OF Influenced Others,LyricalReferenceTo,Fragments of a Poet's Breath,2016,"Elena Nibali, Renata Manolesso",Sunlight on Ivory and Bow,Dream Pop,2029,"Christopher Richards, Michael Gomez, Mitchell Ross, Wanda Fuller"
OF Influenced Others,InterpolatesFrom,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Crimson Ledger of the Desert Riders,Oceanus Folk,2023,"Juan Gu, Qiang Dai, Tao Chang, Xiulan He"
OF Influenced Others,InterpolatesFrom,Postcards from Julianne's Heart,2022,"Ming Chen, Xia Cui, Xiuying Li",Rumor's Daughter,Jazz Surf Rock,2028,"Gang Yang, Min Kong, Yong Deng"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Rumor's Daughter,Jazz Surf Rock,2028,"Gang Yang, Min Kong, Yong Deng"
OF Influenced Others,InStyleOf,Everything's Alright,2020,"Kaori Kobayashi, Yui Kondo",Saturday's Last Light,Space Rock,2023,"Na Jia, Xiulan Dong, Xiuying Fan, Xiuying Zhang"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Saturday's Last Light,Space Rock,2023,"Na Jia, Xiulan Dong, Xiuying Fan, Xiuying Zhang"
OF Influenced Others,InterpolatesFrom,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",The Forgotten Turret,Americana,2027,"Lei Wan, Qiang Shi, Tao Ma, Wei Xiao"
OF Influenced Others,InStyleOf,Roots and Winds of Departure,2010,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Zoé-Agnès Delaunay, Édouard-Rémy Clerc",Faded Polaroids,Oceanus Folk,2025,"Laetitia Petitjean, Madeleine Pineau, Susan Da Silva"
OF Influenced Others,LyricalReferenceTo,Courage in Quiet Moments,2023,"Laetitia Petitjean, Madeleine Pineau, Susan Da Silva",Faded Polaroids,Oceanus Folk,2025,"Laetitia Petitjean, Madeleine Pineau, Susan Da Silva"
OF Influenced Others,CoverOf,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Echoes of the Puszta: Chamber Variations,Oceanus Folk,2023,"Chao Tan, Fang Yan, Jing Chang, Li Dong, Qiang Gao, Qiang Sun, Tao Xu"
OF Influenced Others,LyricalReferenceTo,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Fragments of Unresolved Dialogues,Oceanus Folk,2023,"Taichi Sasaki, Tomoya Takahashi, Yuki Hashimoto"
OF Influenced Others,InStyleOf,Motherland's Golden Horizon,2010,Min Ding,Fragments of Unresolved Dialogues,Oceanus Folk,2023,"Taichi Sasaki, Tomoya Takahashi, Yuki Hashimoto"
OF Influenced Others,LyricalReferenceTo,Wandering Spirit of Prague,2013,"Min Liao, Tao Qian",Fire digte om kærlighed og sorg,Desert Rock,2023,"Li Liu, Ming Zhou, Ping Lei, Sean James"
OF Influenced Others,LyricalReferenceTo,Whispers of Forever,2019,"Min Liang, Na Li, Na Yi, Xia Shao, Xia Wang",Pale Light of Farewell,Oceanus Folk,2023,"Chao Qiu, Ming Zhou"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Whispers in the Silence,Oceanus Folk,2013,"Na Lai, Xiulan Liang"
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Hope on the Horizon,Americana,2020,"Guiying Liang, Jun Shi, Kristi Bowers, Matthew Salazar, Qiang Zeng"
OF Influenced Others,InterpolatesFrom,Manger's Midnight,2021,"Juan Yu, Lei Jin, Yong Lai, Yong Shen",The Ballad of Kristian's Heart,Oceanus Folk,2023,"Jeffrey Watson, Jie Cheng, Juan Kang"
OF Influenced Others,InterpolatesFrom,Shadows Beneath the Palm,2026,Michael Rivera,Beyond Moderation,Indie Rock,2027,"Annetta Passalacqua, Imelda Zaguri, Nanni Telesio"
OF Influenced Others,InStyleOf,Hjertets Soloppgang (Sunrise of the Heart),1994,"Amanda Ramos, Deborah Davis","Stolen Glances, Spinning Hearts",Dream Pop,2023,"Domenico Gasperi, Franco Angeli, Gioffre Garobbio, Nadia Mazzanti"
OF Influenced Others,InterpolatesFrom,Wheels in Motion,2017,"Chao Wu, Jing Xu, Juan Wen, Min Xue, Min Yu, Wei Guo",Whisper Your Truth,Dream Pop,2027,Ming Wei
OF Influenced Others,InterpolatesFrom,Soft Collisions,2010,"Constance Guibert, Ignazio Pastine, Lauretta Tresoldi, Patrizio Antonello-Salvemini",Elevation of Desire,Oceanus Folk,2023,Michaela Brooks
OF Influenced Others,InterpolatesFrom,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Elevation of Desire,Oceanus Folk,2023,Michaela Brooks
OF Influenced Others,DirectlySamples,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Ridges of Romance,Americana,2024,Cheryl Carter
OF Influenced Others,LyricalReferenceTo,Soft Collisions,2010,"Constance Guibert, Ignazio Pastine, Lauretta Tresoldi, Patrizio Antonello-Salvemini",Whispers in the Locket,Indie Folk,2026,"Nico Casalodi, Puccio Farnese, Valentina Ungaretti-Pucci, Zaira Balotelli-Peano"
OF Influenced Others,LyricalReferenceTo,Glance My Way,2013,"Aneta Pruschke-Sölzer, Cesare Cicilia, Filippo Pelli, Isabella Farinelli",Whispers in the Locket,Indie Folk,2026,"Nico Casalodi, Puccio Farnese, Valentina Ungaretti-Pucci, Zaira Balotelli-Peano"
OF Influenced Others,InStyleOf,Heavenly Radiance,2017,"Adriana Figueroa, Charles Hall, Fang Wu, James Mosley, Thomas Dudley",Intellectual Passion,Desert Rock,2025,"Chao Yao, Chao Zeng, Dominic Phillips, Fang Shen, Gang Hao, Ping Su"
OF Influenced Others,InStyleOf,Fragments of Unresolved Dialogues,2023,"Taichi Sasaki, Tomoya Takahashi, Yuki Hashimoto",Atlantic Winds of Agadir,Dream Pop,2027,"Gang Kong, Gang Lin, Min Yu, Na Peng, Yang Zou"
OF Influenced Others,InStyleOf,Manger's Midnight,2021,"Juan Yu, Lei Jin, Yong Lai, Yong Shen",Atlantic Winds of Agadir,Dream Pop,2027,"Gang Kong, Gang Lin, Min Yu, Na Peng, Yang Zou"
OF Influenced Others,DirectlySamples,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Inches Apart,Oceanus Folk,2023,"Li Li, Min Huang, Min Xiong, Ping Meng, Ryan Adams"
OF Influenced Others,InStyleOf,Aquatic Rebirth (1983),2023,"Christine Ward, Donald Medina, Joshua Orozco, Lisa Hofmann, Sonora Flux, Steven Goodman",Reps and Rhythm,Symphonic Metal,2028,"Debra Wolfe, Fang Wu, Sherry Powell"
OF Influenced Others,InStyleOf,Hysterical Revenge,2004,"Alfred Thibault, Synaptic Stream, Thibault Hardy, Zoé-Agnès Delaunay",Mercy's Infinite Echo,Oceanus Folk,2007,"Adèle Bonneau, Alfred Thibault, Synaptic Stream, Thibault Hardy"
OF Influenced Others,CoverOf,The Last Goodbye's Farewell,2007,"Georgina Piñol-Guerra, Isabella Farinelli",Faithful Shores,Indie Folk,2018,"Manuel Wu, Wei Peng, Yan Chen"
OF Influenced Others,DirectlySamples,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Faithful Shores,Indie Folk,2018,"Manuel Wu, Wei Peng, Yan Chen"
OF Influenced Others,InStyleOf,Exile's Whisper,2004,Ann Holland,Devotion's Horizon,Oceanus Folk,2004,Tara Deshmukh
OF Influenced Others,InStyleOf,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",The Question That Lingers,Oceanus Folk,2026,"Jie Long, Juan Cao, Juan Xiang, Min Guo, Wei Yao, Yong Qiao"
OF Influenced Others,InterpolatesFrom,Paradise Parallel,2017,"Na Qian, Qiang Qian, Tao Jin, Yong Dong",The Question That Lingers,Oceanus Folk,2026,"Jie Long, Juan Cao, Juan Xiang, Min Guo, Wei Yao, Yong Qiao"
OF Influenced Others,InterpolatesFrom,Shadows of a Forgotten Name,2013,"Jun Yi, Xia Yu",The Question That Lingers,Oceanus Folk,2026,"Jie Long, Juan Cao, Juan Xiang, Min Guo, Wei Yao, Yong Qiao"
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Twilight of the Weekly Cycle,Indie Folk,2023,"Erin Shah, Guiying Jia, Holly Valenzuela, Xia Feng, Yan Lu"
OF Influenced Others,InterpolatesFrom,Earthsong Eternal,2013,"Adrien Weiss, Charles du Perez, Pauline Guyot de la Maillet, Zacharie Martins",Ceremonial Footsteps,Oceanus Folk,2026,"Ming Wang, Ming Xiang, Wei Chen, Yan Luo"
OF Influenced Others,CoverOf,Trembling Syringe,2013,"Lei Wan, Tao Ren, Yesenia Miller",Ceremonial Footsteps,Oceanus Folk,2026,"Ming Wang, Ming Xiang, Wei Chen, Yan Luo"
OF Influenced Others,InStyleOf,Eternal Connection,2010,"Chao Tan, Christine Turner, Li Dai, Nicholas Porter, Victoria Higgins, Wei Qian, Xiuying Jia",Perimeter,Oceanus Folk,2020,Chao Zhou
OF Influenced Others,LyricalReferenceTo,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",Perimeter,Oceanus Folk,2020,Chao Zhou
OF Influenced Others,InterpolatesFrom,Clocktower Cadence,2017,"Chao Tan, Lei Tan, Li Qiu, Min He, Ping Yan, Wei Ma",Aquatic Rebirth (1983),Oceanus Folk,2023,"Christine Ward, Donald Medina, Joshua Orozco, Lisa Hofmann, Sonora Flux, Steven Goodman"
OF Influenced Others,LyricalReferenceTo,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Les Ailes Célestes,Dream Pop,2029,Juan Fang
OF Influenced Others,InStyleOf,Earthsong Eternal,2013,"Adrien Weiss, Charles du Perez, Pauline Guyot de la Maillet, Zacharie Martins",Manger's Midnight,Oceanus Folk,2021,"Juan Yu, Lei Jin, Yong Lai, Yong Shen"
OF Influenced Others,DirectlySamples,Beyond Our Limitations,2007,"Embers of Wrath, Ignazio Pastine, Zacharie Martins",When Time Aligns,Indie Folk,2010,Randy Stewart
OF Influenced Others,InterpolatesFrom,Destiny's Call,2017,"Chao Wu, Donna Caldwell, Sandra Smith, Xia Jia, Xiulan Ye",Waiting for That Moment,Space Rock,2026,"Cristian Bonilla, Lei Xue, Li Zhong, Wei Zhong, William Alexander"
OF Influenced Others,InterpolatesFrom,Grip and Grace,2017,"Chao Qiao, Juan Duan, Jun Xu, Tao Ye, Yong Guo",Ghosting Memories,Desert Rock,2029,"Alexandra Mcdaniel, Fang Qiao, Na Li, Qiang Xia"
OF Influenced Others,InStyleOf,Abundance Overflowing,2017,"Na Ren, Wei Gao, Yang Yao, Yong Chen",Drowning in Denial,Oceanus Folk,2023,"Jing Ding, Li Zeng, Xiulan Yi"
OF Influenced Others,InStyleOf,Blueprint Whispers,2017,"Christophe-Émile Grégoire, Georges Chrétien, Luce Loiseau",Silicon Serenade,Synthwave,2026,Yang Luo
OF Influenced Others,InStyleOf,Echoes of Departure,2004,"Fenna Zwart, Kimberly Stanton, Michael Anderson",Whispers of Her Resilience,Dream Pop,2021,"Lei Zou, Qiang Ding, Qiang Ye, Xiuying Duan"
OF Influenced Others,InStyleOf,Twelve Months of You,2024,"Jing Long, Tao Qin, Xiuying Xiang",Battlefield Solitude,Oceanus Folk,2029,"Guiying Dong, Guiying Xia, Jun Shao, Na Jiang, Na Peng, Thomas Ball"
OF Influenced Others,CoverOf,Wheels in Motion,2017,"Chao Wu, Jing Xu, Juan Wen, Min Xue, Min Yu, Wei Guo",Writ in Blood,Indie Rock,2038,Sienna Fox
